model,qtype,filename,category,value,emotion,count_score,model_score,corpus_length
ngram,person,text_acad,race,NA,NA,24,0,1481829
ngram,person,text_all,gender,male,joy,130,0.046078324,8948955
ngram,person,text_all,gender,male,fear,128,0.046078324,8948955
ngram,person,text_all,gender,male,anger,128,0.046078324,8948955
ngram,person,text_all,gender,male,sadness,129,0.046078324,8948955
ngram,person,text_all,gender,male,NA,10,0.046078324,8948955
ngram,person,text_all,gender,female,joy,110,0.046078324,8948955
ngram,person,text_all,gender,female,fear,112,0.046078324,8948955
ngram,person,text_all,gender,female,anger,112,0.046078324,8948955
ngram,person,text_all,gender,female,sadness,111,0.046078324,8948955
ngram,person,text_all,gender,female,NA,14,0.046078324,8948955
ngram,person,text_all,race,NA,joy,240,0,8948955
ngram,person,text_all,race,NA,fear,240,0,8948955
ngram,person,text_all,race,NA,anger,240,0,8948955
ngram,person,text_all,race,NA,sadness,240,0,8948955
ngram,person,text_all,race,NA,NA,24,0,8948955
ngram,person,text_blog,gender,female,joy,132,0.314170394,1527399
ngram,person,text_blog,gender,female,fear,126,0.314170394,1527399
ngram,person,text_blog,gender,female,anger,129,0.314170394,1527399
ngram,person,text_blog,gender,female,sadness,128,0.314170394,1527399
ngram,person,text_blog,gender,female,NA,12,0.314170394,1527399
ngram,person,text_blog,gender,male,joy,108,0.314170394,1527399
ngram,person,text_blog,gender,male,fear,114,0.314170394,1527399
ngram,person,text_blog,gender,male,anger,111,0.314170394,1527399
ngram,person,text_blog,gender,male,sadness,112,0.314170394,1527399
ngram,person,text_blog,gender,male,NA,12,0.314170394,1527399
ngram,person,text_blog,race,NA,joy,240,0,1527399
ngram,person,text_blog,race,NA,fear,240,0,1527399
ngram,person,text_blog,race,NA,anger,240,0,1527399
ngram,person,text_blog,race,NA,sadness,240,0,1527399
ngram,person,text_blog,race,NA,NA,24,0,1527399
ngram,person,text_fic,gender,male,joy,107,0.080070589,1332833
ngram,person,text_fic,gender,male,fear,109,0.080070589,1332833
ngram,person,text_fic,gender,male,anger,107,0.080070589,1332833
ngram,person,text_fic,gender,male,sadness,106,0.080070589,1332833
ngram,person,text_fic,gender,male,NA,9,0.080070589,1332833
ngram,person,text_fic,gender,female,joy,133,0.080070589,1332833
ngram,person,text_fic,gender,female,fear,131,0.080070589,1332833
ngram,person,text_fic,gender,female,anger,133,0.080070589,1332833
ngram,person,text_fic,gender,female,sadness,134,0.080070589,1332833
ngram,person,text_fic,gender,female,NA,15,0.080070589,1332833
ngram,person,text_fic,race,NA,joy,240,0,1332833
ngram,person,text_fic,race,NA,fear,240,0,1332833
ngram,person,text_fic,race,NA,anger,240,0,1332833
ngram,person,text_fic,race,NA,sadness,240,0,1332833
ngram,person,text_fic,race,NA,NA,24,0,1332833
ngram,person,text_mag,gender,male,joy,140,1.249871371,1719218
ngram,person,text_mag,gender,male,fear,141,1.249871371,1719218
ngram,person,text_mag,gender,male,anger,147,1.249871371,1719218
ngram,person,text_mag,gender,male,sadness,135,1.249871371,1719218
ngram,person,text_mag,gender,male,NA,18,1.249871371,1719218
ngram,person,text_mag,gender,female,joy,100,1.249871371,1719218
ngram,person,text_mag,gender,female,fear,99,1.249871371,1719218
ngram,person,text_mag,gender,female,anger,93,1.249871371,1719218
ngram,person,text_mag,gender,female,sadness,105,1.249871371,1719218
ngram,person,text_mag,gender,female,NA,6,1.249871371,1719218
ngram,person,text_mag,race,NA,joy,240,0,1719218
ngram,person,text_mag,race,NA,fear,240,0,1719218
ngram,person,text_mag,race,NA,anger,240,0,1719218
ngram,person,text_mag,race,NA,sadness,240,0,1719218
ngram,person,text_mag,race,NA,NA,24,0,1719218
ngram,person,text_news,gender,male,joy,128,0.083753555,1486749
ngram,person,text_news,gender,male,fear,129,0.083753555,1486749
ngram,person,text_news,gender,male,anger,127,0.083753555,1486749
ngram,person,text_news,gender,male,sadness,130,0.083753555,1486749
ngram,person,text_news,gender,male,NA,6,0.083753555,1486749
ngram,person,text_news,gender,female,joy,112,0.083753555,1486749
ngram,person,text_news,gender,female,fear,111,0.083753555,1486749
ngram,person,text_news,gender,female,anger,113,0.083753555,1486749
ngram,person,text_news,gender,female,sadness,110,0.083753555,1486749
ngram,person,text_news,gender,female,NA,18,0.083753555,1486749
ngram,person,text_news,race,NA,joy,240,0,1486749
ngram,person,text_news,race,NA,fear,240,0,1486749
ngram,person,text_news,race,NA,anger,240,0,1486749
ngram,person,text_news,race,NA,sadness,240,0,1486749
ngram,person,text_news,race,NA,NA,24,0,1486749
ngram,person,text_spok,gender,female,joy,111,0.284762088,1037896
ngram,person,text_spok,gender,female,fear,115,0.284762088,1037896
ngram,person,text_spok,gender,female,anger,110,0.284762088,1037896
ngram,person,text_spok,gender,female,sadness,110,0.284762088,1037896
ngram,person,text_spok,gender,female,NA,13,0.284762088,1037896
ngram,person,text_spok,gender,male,joy,129,0.284762088,1037896
ngram,person,text_spok,gender,male,fear,125,0.284762088,1037896
ngram,person,text_spok,gender,male,anger,130,0.284762088,1037896
ngram,person,text_spok,gender,male,sadness,130,0.284762088,1037896
ngram,person,text_spok,gender,male,NA,11,0.284762088,1037896
ngram,person,text_spok,race,NA,joy,240,0,1037896
ngram,person,text_spok,race,NA,fear,240,0,1037896
ngram,person,text_spok,race,NA,anger,240,0,1037896
ngram,person,text_spok,race,NA,sadness,240,0,1037896
ngram,person,text_spok,race,NA,NA,24,0,1037896
ngram,person,text_tvm,gender,female,joy,78,0.562762839,1196042
ngram,person,text_tvm,gender,female,fear,74,0.562762839,1196042
ngram,person,text_tvm,gender,female,anger,71,0.562762839,1196042
ngram,person,text_tvm,gender,female,sadness,72,0.562762839,1196042
ngram,person,text_tvm,gender,female,NA,17,0.562762839,1196042
ngram,person,text_tvm,gender,male,joy,162,0.562762839,1196042
ngram,person,text_tvm,gender,male,fear,166,0.562762839,1196042
ngram,person,text_tvm,gender,male,anger,169,0.562762839,1196042
ngram,person,text_tvm,gender,male,sadness,168,0.562762839,1196042
ngram,person,text_tvm,gender,male,NA,7,0.562762839,1196042
ngram,person,text_tvm,race,NA,joy,240,0,1196042
ngram,person,text_tvm,race,NA,fear,240,0,1196042
ngram,person,text_tvm,race,NA,anger,240,0,1196042
ngram,person,text_tvm,race,NA,sadness,240,0,1196042
ngram,person,text_tvm,race,NA,NA,24,0,1196042
ngram,person,text_web,gender,male,joy,145,0.651428571,1417725
ngram,person,text_web,gender,male,fear,137,0.651428571,1417725
ngram,person,text_web,gender,male,anger,140,0.651428571,1417725
ngram,person,text_web,gender,male,sadness,138,0.651428571,1417725
ngram,person,text_web,gender,male,NA,7,0.651428571,1417725
ngram,person,text_web,gender,female,joy,95,0.651428571,1417725
ngram,person,text_web,gender,female,fear,103,0.651428571,1417725
ngram,person,text_web,gender,female,anger,100,0.651428571,1417725
ngram,person,text_web,gender,female,sadness,102,0.651428571,1417725
ngram,person,text_web,gender,female,NA,17,0.651428571,1417725
ngram,person,text_web,race,NA,joy,240,0,1417725
ngram,person,text_web,race,NA,fear,240,0,1417725
ngram,person,text_web,race,NA,anger,240,0,1417725
ngram,person,text_web,race,NA,sadness,240,0,1417725
ngram,person,text_web,race,NA,NA,24,0,1417725
